,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
2429,Celebrity Big Brother,Reality,568,16.131,4.554,28,Celebrity Big Brother is a British reality television game show in which a number of celebrity contestants live in an isolated house trying to avoid being evicted by the public with the aim of winning a large cash prize being donated to the winner's nominated charity at the end of the run.,['John de Mol'],/729Z7o1ycoEzk9fcPHn3iuteVfF.jpg
2430,heute-show,"Comedy, News",454,30.727,7.077,13,"Oliver Welke and his team report on political topics as well as international news giving them their own satirical, comedic twist.",,/y7SD3fDHBdhEyeXorsXVM5RKU4K.jpg
2431,Comedy Woman,"Talk, Comedy",92,4.485,6.0,9,,['Natalya Yeprikyan'],/thR7z7uuWCtIEIgIupNep0Art5S.jpg
2432,Moonshiners,Reality,204,14.14,6.8,30,"Think the days of bootleggers, backwoods stills and ""white lightning"" are over? Not a chance! It's a multi-million dollar industry. But perhaps more importantly to the moonshiners, it's a tradition dating back hundreds of years, passed down to them from their forefathers. It's part of their history and culture. While this practice is surprisingly alive and well, it's not always legal. Moonshiners tells the story of those who brew their shine - often in the woods near their homes using camouflaged equipment - and the local authorities who try to keep them honest. Viewers will witness practices rarely, if ever, seen on television including the sacred rite of passage for a moonshiner - firing up the still for the first time. They will also meet legends, including notorious moonshiner Marvin ""Popcorn"" Sutton.",,/brgOpuQs3nhqRKQWomMv0jpHqxM.jpg
2433,Amish Mafia,"Reality, Documentary",30,2.67,3.6,7,"Untrusting of outside law enforcement, some Amish in Lancaster County, PA have for many years regularly turned to a small organized group of men for protection and justice. The 2006 School shootings in Lancaster County during which five young Amish girls were killed and five more seriously injured by a non-Amish milk truck driver brought to the nation's attention the vulnerabilities of the Amish community, and their need for continued protection.",,/sgO223G4u8Bt0E8mg9wfJP6U1Ny.jpg
2434,Motive,"Crime, Drama, Mystery",52,21.555,6.537,67,"A team of Vancouver investigators, led by homicide detective Angie Flynn, sets out to uncover the motive of each puzzling murder by discovering the killer's connection to the victim. Viewers get a glimpse of the killer before and after the crime is committed.",['Daniel Cerone'],/gA5mK6VO1tJ4DCGhmXEcsYetvqH.jpg
2435,H+: The Digital Series,"Drama, Action & Adventure, Sci-Fi & Fantasy",48,5.215,7.3,14,"H+: The Digital Series is a web series produced by Bryan Singer and created by John Cabrera and Cosimo De Tommaso. The series, which touches on the subject of transhumanism, premiered on August 8, 2012 on YouTube with two episodes. Two new episodes were then released every week on Wednesdays until the season finale on January 16, 2013.",,/6JOlFNNVXprII3fSX0t330GHkau.jpg
2436,The Taste,Reality,23,1.789,5.6,8,"In this exhilarating cooking competition series, The Taste puts 16 culinary competitors -- who range from home cooks and professional chefs to everything in between -- in the kitchen, where four of the world’s most notable masters of the food world judge their creations based on a blind taste. In this pressure-packed contest, a single spoonful can catapult a contender to the top or send them packing.",,/frptYNOuELkkDWiqWQk7wbbUj5m.jpg
2437,Small Island,Drama,2,3.248,6.1,9,"Follow three intricately connected stories of Jamaicans and Londoners involved in World War Two. Hortense yearns for a new life away from rural Jamaica, Gilbert dreams of becoming a lawyer, and Queenie longs to escape her Lincolnshire roots. Hope and humanity meet stubborn reality as we trace the tangled history of Jamaica and the UK.",,/lq6fBrjJt30N6ZUDuzBif9B8IwG.jpg
2438,Oliver Stone's Untold History of the United States,"Documentary, War & Politics",10,2.586,8.4,16,Oliver Stone's re-examination of under-reported events in American history.,['Oliver Stone'],/fBln8eob2wYQ98GftMBaU69OGgX.jpg
2439,The Vietnam War,"Documentary, War & Politics",10,9.948,8.372,137,"An immersive 360-degree narrative telling the epic story of the Vietnam War as it has never before been told on film. Featuring testimony from nearly 80 witnesses, including many Americans who fought in the war and others who opposed it, as well as Vietnamese combatants and civilians from both the winning and losing sides.",,/tKt4lYTA4YmfBUH5Vtd7qqgqGBW.jpg
2440,Portrait of a Marriage,Drama,4,0.731,5.8,6,The remarkable true story of Edwardian writer Vita Sackville-West and her husband Harold Nicolson.,,/p684vfld0nOvvSU7f03NCnzgS8Z.jpg
2441,The Strange Calls,Comedy,6,1.804,6.3,6,City cop Toby Banks is demoted to night duty at Coolum Beach. He joins local eccentric Gregor to investigate the strange calls: phone calls that expose the paranormal mysteries of the town.,['Daley Pearson'],/kYRUAEhkRfUpnus3xjqO5GWPQKT.jpg
2442,Tyler Perry's The Haves and the Have Nots,"Soap, Drama",198,15.849,7.563,127,"Follow the complicated dynamic between the rich and powerful Cryer family and the hired help who work in their opulent Savannah, Georgia, mansion.",['Tyler Perry'],/bwQchLBTtu0lKLjmY7VJ7f3GfEi.jpg
2443,A Moody Christmas,Comedy,6,1.846,8.2,8,"Focused on the lovable, yet seasonally dysfunctional Moody family, A Moody Christmas is set against the backdrop of the one occasion that can bring out the best (and the worst) in people … Christmas Day.","[""Trent O'Donnell"", 'Phil Lloyd']",/lSWNWUX1LTKittrghwTer4Q7nvn.jpg
2444,Sabrina: Secrets of a Teenage Witch,"Family, Animation, Comedy, Action & Adventure",26,3.196,7.6,5,"Sabrina: Secrets of a Teenage Witch is an American animated television series on Hub Network based on the Archie Comics character Sabrina the Teenage Witch. The series is developed by Pamela Hickey and Dennys McCoy and was acquired by Hub Network on October 1, 2012. The series was originally intended for a summer 2013 release but has since been pushed out to fall 2013.",['Dan DeCarlo'],/hLr90mN4cPBGadvd5ofZtWIKAIa.jpg
2445,Journey to the Center of the Earth,Sci-Fi & Fantasy,2,9.062,5.716,37,"Remake of Jules Verne's classic story finds adventurers seeking a mysterious hidden land. They are joined by the wife of another man, who had previously gone on a similar expedition and disappeared.",,/zVzzmq6DPk2VqkZhF3fQpn60ekK.jpg
2446,MeatEater,Documentary,136,5.545,8.25,12,"Hunter, author, cook and conservationist Steven Rinella treks into the world's most remote, beautiful regions, bringing game meat from field to table.",,/iIBlBmYupUT8n5jyiGyuh3EDmDq.jpg
2447,The Blue Rose,"Comedy, Drama",13,4.341,7.5,6,"When office temp Jane  discovers that Rose, the PA she is replacing, died under mysterious circumstances, she joins forces with Rose's best friend Linda to get justice for Rose. Along the way, they find others who need their help, victims of fraud, theft and injustice, and soon Jane, Linda - and a team of unlikely co-workers - are taking on the corporate bullies, fighting for justice and using their unique powers for good.","['James Griffin', 'Rachel Lang']",/yih6C6w3xpq3GQdcIl3nUs7vkEk.jpg
2448,The Americans,"Crime, Drama",75,48.15,7.872,740,"Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.",['Joseph Weisberg'],/lD4gTLrI81Crs6CDwwjQrnkJrUm.jpg
2449,More Tales of the City,Drama,6,2.445,7.727,11,"Mona Ramsey is on a cross-country trip that takes her to a brothel which may hold a secret about her past. Michael ""Mouse"" Tolliver and Mary Ann Singleton go on a cruise where they meet up with old and new lovers. Back in San Francisco, Brian Hawkins becomes involved with a mysterious woman he spots from his window, while DeDe Halcyon Day becomes acquainted with a new friend who helps her discover her true inner feelings.",,/wZlCWSxSKt2XhR1zpINGBsNDIDn.jpg
2450,Top of the Lake,"Crime, Drama, Mystery",13,10.749,7.125,280,"A woman haunted by her past, Detective Robin Griffin, investigates complex and unsettling cases.","['Jane Campion', 'Gerard Lee']",/wBy1R8JogtLZNyRJithLksrl9AB.jpg
2451,The Life of Muhammad,Documentary,3,0.877,3.2,5,"The Life of Muhammad is a 2011 British three-part documentary miniseries examining the life of the Islamic prophet Muhammad and the origins of Islam. The documentary was directed by Faris Kermani, written by Ziauddin Sardar, and presented by Rageh Omaar. It was broadcast by BBC Two over three consecutive weeks from 11 July 2011 to 25 July 2011.",,/6psXJavG7btGZoXveCqF1GfftKn.jpg
2452,True Detective,Drama,24,51.785,8.291,2615,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",['Nic Pizzolatto'],/aowr4xpLP5sRCL50TkuADomJ98T.jpg
2453,Randy Cunningham: 9th Grade Ninja,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",100,12.092,8.542,36,"Randy Cunningham: 9th Grade Ninja is an American animated television series created by Jed Elinoff and Scott Thomas for Disney XD. It is produced by Titmouse, Inc. and Boulder Media Limited. Many of the character designs were supplied by Jhonen Vasquez, the creator of Invader Zim. The series premiered on September 17, 2012.",['Scott Thomas'],/uy864Z278ijIfCxQGmPMSp6eKkP.jpg
2454,The Escape Artist,Drama,3,6.007,7.017,60,"A chilling and bloody legal thriller that explores the line between law and justice. Will Burton, a talented junior barrister of peerless intellect and winning charm, specialises in spiriting people out of tight legal corners. He is in high demand as he has never lost a case. But when his talents acquit the notorious prime suspect in an horrific murder trial, that brilliance comes back to bite him with unexpected and chilling results, not to mention a shocking twist.",['David Wolstencroft'],/vIKU5IHQdavwz9KbMCKY8zJK8rU.jpg
2455,Wonders of Life,Documentary,5,2.514,8.0,22,Physicist and professor Brian Cox travels across the globe to uncover the secrets of the most extraordinary phenomenon in the universe: life.,,/sj1QDXyb8Q0qXfmcnVL22pOqe4a.jpg
2456,Upstairs Downstairs,Drama,9,6.143,7.2,28,"Set in 1936, the show takes viewers, old and new, back to the lavish world of Belgravia, London. A new set of occupants reside at 165 Eaton Place and viewers see how external and internal influences of the tumultuous pre-war period shape and mould the lives of this wealthy family and their servants.‬",['Heidi Thomas'],/hGh87w2j5huGJeV4VVtnPoR42FZ.jpg
2457,Rectify,Drama,30,13.719,7.541,229,"After 19 years on Death Row for the rape and murder of his teenage girlfriend, Daniel Holden is going home. His conviction has been vacated due to new DNA evidence. Now he has to return to a world he no longer knows and his reentry into the outside world may be as unforgiving as prison. Daniel is haunted by the past, dogged by the present, and uncertain of the future. As he struggles to adapt to his new life, his homecoming reignites the fears of a small town and threatens to shatter his family’s fragile peace. Daniel’s alleged crime divided a community. Will his freedom tear it in half?",['Ray McKinnon'],/tm9nQe9165cyjnTz8NB50izwcpJ.jpg
2458,Dancing on the Edge,Drama,5,5.447,6.8,16,An explosive 1930s drama following a jazz band in London at a time of huge change.,['Stephen Poliakoff'],/AdP0aGZOWKy3IFkmgfGVupfOplM.jpg
2459,Africa,Documentary,6,8.898,8.2,86,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",['David Attenborough'],/emrvQId86K5dXKRSnFGNQAH3XAO.jpg
2460,Further Tales of the City,"Comedy, Drama, Mystery",4,3.283,6.889,9,"Mary Ann Singleton struggles to advance in her new career as a TV personality, while Michael Tolliver is playing the field after his break-up with Jon Fielding. After her divorce, Prue Giroux finds comfort in a mysterious stranger she meets in the park. Brian Hawkins is struggling with his job and his new monogamous relationship with Mary Ann, and DeDe Halcyon Day returns with a dangerous revelation that could be the scoop Mary Ann has been waiting for.",,/b4RIni6M3xCYpGR4w2sUOnZOXlp.jpg
